uuid,name,superClass,interfaces,isInterface,hasSuperClass,hasInterfaces,fields
e636e7d4-48e0-4593-997c-0c1bded134f2,sun.net.www.http.HttpCaptureOutputStream,java.io.FilterOutputStream,,false,true,false,"[""capture"",""2"",""sun.net.www.http.HttpCapture""]"
9beeb06a-a322-48f7-8fc2-a1ce62557564,sun.nio.ch.DefaultSelectorProvider,,,false,false,false,
6fb8b9bb-770c-4bbd-8666-5cc507600433,sun.misc.ObjectInputFilter$Config$Global$lambda_new_2__27,,java.util.function.Function,false,false,true,"[""cap0"",""0"",""java.lang.String""]"
dffa5cb3-204a-4fbc-acf8-e9fa3aa67bf5,java.util.concurrent.ForkJoinWorkerThread,java.lang.Thread,,false,true,false,"[""THREADLOCALS"",""26"",""long""]|[""INHERITEDACCESSCONTROLCONTEXT"",""26"",""long""]|[""U"",""26"",""sun.misc.Unsafe""]|[""INHERITABLETHREADLOCALS"",""26"",""long""]|[""workQueue"",""16"",""java.util.concurrent.ForkJoinPool$WorkQueue""]|[""pool"",""16"",""java.util.concurrent.ForkJoinPool""]"
8cb6c255-e9dc-4be6-b71c-a9b48b2b24e7,java.util.concurrent.Callable,,,true,false,false,
4ee76660-4141-4dd4-9f91-551595222dd3,java.util.stream.Node$Builder$OfInt,,java.util.stream.Node$Builder|java.util.stream.Sink$OfInt,true,false,true,
c2cb765f-f881-41ba-8b3c-8bbad53b1198,sun.security.provider.PolicyParser$DomainEntry,,,false,false,false,"[""properties"",""18"",""java.util.Map""]|[""name"",""18"",""java.lang.String""]|[""entries"",""18"",""java.util.Map""]"
755d13fb-9e3e-492a-9836-a6e22748bd1a,java.security.InvalidAlgorithmParameterException,java.security.GeneralSecurityException,,false,true,false,"[""serialVersionUID"",""26"",""long""]"
315d72c0-c2ff-4ddd-9d90-61bc8c173b08,java.util.ArrayList,java.util.AbstractList,java.util.List|java.util.RandomAccess|java.lang.Cloneable|java.io.Serializable,false,true,true,"[""DEFAULT_CAPACITY"",""26"",""int""]|[""MAX_ARRAY_SIZE"",""26"",""int""]|[""size"",""2"",""int""]|[""elementData"",""128"",""java.lang.Object[]""]|[""serialVersionUID"",""26"",""long""]|[""EMPTY_ELEMENTDATA"",""26"",""java.lang.Object[]""]|[""DEFAULTCAPACITY_EMPTY_ELEMENTDATA"",""26"",""java.lang.Object[]""]"
2e789e79-71aa-4e80-a4a3-e82c307f03f1,java.text.Format$FieldDelegate,,,true,false,false,
fd7e34aa-d5a5-48d3-b93e-f7d4241daeec,java.lang.IllegalMonitorStateException,java.lang.RuntimeException,,false,true,false,"[""serialVersionUID"",""26"",""long""]"
f9cd33f3-aaff-4b95-9705-c9a45a3bd809,java.util.stream.MatchOps$lambda_makeRef_0__272,,java.util.function.Supplier,false,false,true,"[""cap1"",""0"",""java.util.function.Predicate""]|[""cap0"",""0"",""java.util.stream.MatchOps$MatchKind""]"
aa92618e-b005-43cb-a54b-1736f7b562f9,sun.net.www.http.KeepAliveStream,sun.net.www.MeteredStream,sun.net.www.http.Hurryable,false,true,true,"[""hc"",""0"",""sun.net.www.http.HttpClient""]|[""hurried"",""0"",""boolean""]|[""queuedForCleanup"",""4"",""boolean""]|[""queue"",""26"",""sun.net.www.http.KeepAliveStreamCleaner""]|[""cleanerThread"",""10"",""java.lang.Thread""]"
27d6ec8a-6b82-4c78-bcc5-3fc096546e76,java.util.concurrent.Executors$1,,java.util.concurrent.Callable,false,false,true,"[""val$action"",""4112"",""java.security.PrivilegedAction""]"
9509023a-7d81-47ec-990b-ac5bc5be6dfb,java.util.concurrent.Executors$2,,java.util.concurrent.Callable,false,false,true,"[""val$action"",""4112"",""java.security.PrivilegedExceptionAction""]"
7f3f388c-81d8-47a9-aae4-9961c3b133f3,java.util.IdentityHashMap$KeyIterator,java.util.IdentityHashMap$IdentityHashMapIterator,,false,true,false,"[""this$0"",""4112"",""java.util.IdentityHashMap""]"
9a886fb6-4095-4176-a951-492241effcaa,java.text.FieldPosition$Delegate,,java.text.Format$FieldDelegate,false,false,true,"[""encounteredField"",""2"",""boolean""]|[""this$0"",""4112"",""java.text.FieldPosition""]"
